Quote,Author
"I tried to be a ski bum when I stepped away from Twitter, and I wasn't a very good skier.",Evan Williams
"I like to windsurf and ski, and most of all I love to ride horses. The wilder and faster the better! If I'm presented with a fast horse or a fast boat, I still get that shiver of excitement and I cannot resist. Luckily I never seem to have any accidents, and thank God for that.",Andrea Bocelli
"My first job ever was working a ski lift when I was 16. I also worked at a garden center, which I loved. I did that for two and a half years.",Sara Canning
"I ski every three years or so. I don't have the ingrained confidence that others do, but I'll happily toddle about a green or blue run.",Cherie Lunghi
"When the mood takes me, I like to be a man of action. I like to windsurf and ski, and most of all I love to ride horses. The wilder and faster the better!",Andrea Bocelli
"A part of me is missing when I can't ski, but I've learned there's more to define me and make me happy, like stand-up paddling and Jet Skiing - things I'd never done before. Or being with people I love and just enjoying life.",Lindsey Vonn
"I love the sun, but we don't get on at all; it doesn't agree with my Celtic tones. I also like nothing better than putting on a big ski jacket and feeling the wind in my face.",Erin O'Connor
"When I travel, I always have about 40 pairs of skis with me, plus a ski technician and a ski coach.",Julia Mancuso
"I've been trying to learn to ski for years, but there's something about being 6-foot-5 and falling that's not appealing.",Tyler Perry
"I wish that I could tell you that I have a season ski pass, but I have had to give that up since I've been in the Senate.",Lisa Murkowski
"My philosophy on snow skiing is that there are less expensive ways to fall down a mountain. Yet every couple of years, I go on a ski trip for the same reason that women will have multiple children - they simply forget how much it hurts.",W. Bruce Cameron
"My favorite ski slope is the kind that winds up at the cafeteria. My children, though, usually insist that I get out and take on a few expert runs, in a game called 'Let's See if We Can Get Our Inheritance Early.'",W. Bruce Cameron
"It's very complicated when you are reorganizing territories under different ministries. We have to get them all together and transfer jurisdictions. It's a bureaucratic slalom course we have to ski through, but it can be done.",Douglas Tompkins
I figured out how to put basically the functionality of an M.R.I. machine - a multimillion-dollar M.R.I. machine - into a wearable in the form of a ski hat.,Mary Lou Jepsen
"My constituents include CU Buffs, ski bums, techies, artists, suburban soccer moms, and proud, hard-working Colorado families.",Jared Polis
"My wife Santa is a fanatical skier, going to Klosters many times a year. To please her, I have for 12 years tried to ski, abseil, mountain-climb, para-scend, heli-ski, land-lauf, ice-skate, toboggan, luge, bobsleigh, yodel, gulp gluhwein, dunk bread in cheese fondue, or even walk in the mountains. I have failed at every one of these pursuits.",Simon Sebag Montefiore
I think part of the fun about walking around in ski boots is making it look as awkward as possible. I really think that's enjoyable. I don't know why.,Mikaela Shiffrin
"My father didn't want to ski alone, so he took me up to the mountains in order to basically bribe my mom to come with him.",Chloe Kim
"I didn't even ski halfpipe until I was 14 because the resort where I lived didn't have one. So it wasn't always my favorite event, but I grew into it.",Gus Kenworthy
I don't listen to music when I ski - I find it distracting - but I will sing to myself before I go to just get my mind out of what I'm doing and relax a little bit.,Gus Kenworthy
The chance of messing up and falling significantly increases when you're flipping through the air three times while spinning and trying to grab your skis.,Gus Kenworthy
"I love to hike, fly-fish, and ski in the mountains where I live in Colorado.",Blake Crouch
"When I ski, I take both of my legs off and get into a sit ski: a ski with a custom seat that has been molded for me. I use my core and arms to propel myself on snow with help from ski poles.",Oksana Masters
"In 2012, I was invited to a ski event called the Hartford Ski Spectacular to learn how to sit-ski for the first time. I loved it, but it was not pretty - I was not good. I didn't know how to stop, so I kept throwing myself on the ground.",Oksana Masters
I grew up snowboarding in two of the best states for the sport: Colorado and Utah. The world-class ski mountains in these neighboring states were key factors that allowed me to represent our country in two Olympics and numerous X Games.,Gretchen Bleiler
"As a ski bum and someone who came up in a ski bum family, I understand the essence of what Colorado is all about.",Grace Potter
"After I quit the U.S. Ski Team, there was a fair amount of, you know, grief that follows that, and I just wanted to take a year off. And I had a friend that lived in Los Angeles, said I could crash on his couch. And so I just kind of did the first really spontaneous thing I'd done in my young adult life.",Molly Bloom
"When I started competing, I was so broke that I had to tie my helmet with a piece of string. On one jump, the string snapped, and my helmet carried on farther than I did. I may have been the first ski jumper ever beaten by his gear.",Eddie the Eagle
"I had no money, no training facilities, no snow, no ski jumps, no trainer, but I still managed to ski jump for my country - and getting there was my gold medal.",Eddie the Eagle
I wish they'd build a ski jump at the Grand Canyon; it'd be fantastic.,Eddie the Eagle
"I would never think of asking a girl out on the High Street or the disco or at school. But on the ski slope, I would chat to all the girls.",Eddie the Eagle
I want to prove to the skeptics that I'm not a clown. I'm very serious about what I do. I want to be a good ski jumper who has a sense of humor.,Eddie the Eagle
"It had been a dream of mine to go to an Olympic Games since I was about seven years old. I didn't know I'd do it ski jumping, but that's how it turned out.",Eddie the Eagle
I was like the George Clooney of the ski business.,Eddie the Eagle
My dream date would be a hike through the woods followed by an outdoor picnic followed by a glass of wine at sunset. Heaven!,Nina Agdal
"I believe in evolution. But I also believe, when I hike the Grand Canyon and see it at sunset, that the hand of God is there also.",John McCain
"Every weekday morning, I picture my first paragraph while I hike with my dog Milo near Mulholland Drive, looking out over the San Fernando Valley. I edit the paragraph, then memorize it, so that when I get back home and sit down at my computer, the blank screen's tyranny lasts only a second or two. A brief reign!",Lauren Kate
"I really don't like the gym. I like experiences, so I take any chance I get to go on a bicycle or on a hike.",Blake Lively
"I'm kind of a jock. I sail, I ride a bike, I hike, I pump iron. I just love to be active.",Laura Schlessinger
"I work out two or three times a week, whether it be a run or a workout class, a hike... I really try and mix it up a little bit so that it keeps me interested. I have a gym in my house, so if all else fails, I'll get on the running machine and book a movie or some crappy reality TV and just zone out.",Mel B
"Hiking is something that I really, really like to do. It's distracting, you're in nature, and you get a nice workout that way. I would tell everyone to hike as much as they can - you just feel so much better when you get outdoors. I'm also into yoga.",Odette Annable
"I grew up in the Cayman Islands. I didn't play video games or watch TV. I would basically come home from school, throw down my backpack, grab my machete, and go hike and chop down trees to make a fort.",Armie Hammer
,
"I have a Lab, it's fun to hang out and hike with the dog, people come up to him, and pet him, it's fun.",George Eads
"When I start getting embroiled in heated debates and feeling stressed, I just turn everything off and disconnect from the world. I simply tell my colleagues and friends that I am not well and need to cancel all meetings for a day or more. I take it easy - go for a long hike, take a vacation somewhere, or just stay at home and read.",Vivek Wadhwa
"I like to hike and cook. I enjoy furniture and design - not making it, just looking at it. I'm always kind of trying to spread my interests around and try new things.",Kevin Bacon
"I need your help. I am injured, near death, and too weak to hike out of here. I am all alone. This is no joke. In the name of God, please remain to save me. I am out collecting berries close by and shall return this evening. Thank you, Chris McCandless.",Christopher McCandless
"Hiking is the best workout!... You can hike for three hours and not even realize you're working out. And, hiking alone lets me have some time to myself.",Jamie Luner
I love that there are beaches you can walk your dog on in San Francisco. Fort Funston is big and always packed with hundreds of dogs and their people. A great place to hike and get some exercise and fresh air with your well-mannered pup. Not recommended for antisocial dogs; there's just too much commotion there.,Jane Wiedlin
"Chris proposed exactly the way I've always dreamed. Our families were close by, but it was just us out on a beautiful deck overlooking a lake in East Tennessee. We had just been on a hike and - in our workout clothes - he hit the knee! We feel so blessed by God that He sent us each other, and we are looking so forward to forever together.",Hillary Scott
"I do like working out. I feel my best when I work out, but you know, I'm human. I like to ride my bicycle and lift weights and hike. When I am diligently working out, ideally, I like to work out four days a week. If I can do that, I feel good about myself.",Shemar Moore
I have said many times that racist and bigots are not welcome in our party... The journalists who don't want to recognize this and keep coming back with questions of bigotry can just take a hike.,Maxime Bernier
"I'm a walker, whether that's a stroll on the beach at sunset or getting up at eight o'clock on a Sunday morning and doing an eight-hour hike through a canyon. It's Zen time for me.",Lara Pulver
"My daily routine would include waking up very early, usually around 6:00 A.M., going for a workout or hike, and getting on with my day. I always just try to keep every day as productive as possible.",Nadia Ali
"What I do like is hiking. And that's what filmmaking is. It's a hike. It's challenging and exhausting, and you don't know what the terrain is going to be or necessarily even which direction you're going in... but it sure is beautiful.",Joss Whedon
I slalom ski. I wakeboard. I hike and rock climb.,Sydney Sweeney
I'm just a glutton for spas and messages. And I love to surf and hike.,Carolyn Murphy
"I've always been more interested in organisms that can move on their own than in stationary plants. But when I canoe or hike along the edge of lakes or oceans and see trees that seem to be growing out of rock faces, I am blown away. How do they do it?",David Suzuki
"I tend to go to bed really early on New Year's Eve. Then I wake up early, drive up while it's still dark, and hike out somewhere beautiful to watch the sunrise. I just take a couple hours and have a post-mortem of the year.",Charlie Hunnam
"I see myself being married to my girlfriend and backpacking all over the world. If I can go out and do a 15-mile hike and climb a 12,000-ft. peak, I'm good to go.",Matt Long
"I'm a pretty active person. I love yoga, crossfit, Zumba, and got to get that occasional hike in at Runyon Canyon when I can. I also love mentoring youth.",Sufe Bradshaw
"I like to hike with my dog, Webster. It helps clear my mind.",Calista Flockhart
"I shot Footloose nearby, and we used to hike. Very fond memories.",Dianne Wiest
"I hate fishing, and I can't imagine why anyone would want to hike when you can get in the car and drive.",Joseph Barbera
"Also, I walk and hike in several different nearby parks near our home several early mornings a week.",Malcolm Boyd
"I am the first to admit my iPad is the coolest thing in the world, but when we can be in a room together and really connect, or leave the gadgets home and go for a hike, then I'm happy.",Michael Chiklis
"These days I travel so much it's hard to get into a routine. When I'm on the road, I tend to use hotel gyms. When I'm home in L.A., I like to hike and hit the surf. All in all, I try to keep a balanced diet and exercise routine, which has stood me in good stead to date.",Curtis Stone
I hike and make sure everything I eat is organic.,Janice Dickinson
"I bicycle 12,000-foot mountain passes, run, cross train, skate-ski, hike and mountain bike.",Carre Otis
"I just moved into a new house, so I love spending time at home. Everything for me is all about self-care because I really feel that if I'm at my best, than I'm able to come to my job and really be feeling the best, so if I'm not working out or going on a hike, than I'm at home recharging and cooking dinner and hanging out with my cat.",Lea Michele
We have such an embarrassment of riches when it comes to choice. Do you want to hike in the Alps? There are 300 pairs of shoes you can order within the next 10 minutes. You have your choice of everything.,Nick Offerman
"I grew up climbing mountains in Montana and Wyoming and my wife and I were engaged on top of a mountain peak: Hyalite Peak in Montana. It was a 15-mile hike to get to the top of that, round-trip - thankfully, she said yes.",Steve Daines
"Once you become an actor, it's important to take care of yourself. I live in Santa Monica, where I can mountain bike, hike and go running on the beach. I like a nice sunset jog.",Mark Feuerstein
"To hike out alone in the desert; to sleep on the valley floor on a night with no moon, in the pitch black, just listening to the boom of silence: you can't imagine what that's like.",Nicole Krauss
"Now, to find dinosaurs, you hike around in horrible conditions looking for a dinosaur. It sounds really dumb, but that's what it is. It's horrible conditions, because wherever you have nice weather, plants grow, and you don't get any erosion, and you don't see any dinosaurs.",Nathan Myhrvold
"What you do on a dinosaur expedition is you hike and look at the ground. You find bones sticking out of the dirt and, once you see something, you dig.",Nathan Myhrvold
"I do Pilates twice a week; I hike and I go to the gym. My days of being that hardcore-workout person are over. Don't get me wrong, I still want to be the hot mom!",Alicia Coppola
"I love to go hiking. I hike every day for about 1 1/2 to 2 hours in the hills around LA. I go to the gym every day, too.",Emmanuelle Vaugier
"I love the weather in L.A., and I can drive 20 minutes to the beach, hike minutes from my house or go snowboarding a couple hours away.",Jud Tylor
"I like to read. I go to movies quite a bit. I often go to see friends in theater productions. I hike, stretch and work out. I like to sing. I love going back to acting class and working on new material.",Juliet Landau
"I am almost a vegetarian, and I meditate, do yoga and love to hike.",Diane von Furstenberg
"Along with rock climbing, I hike and I like to go to the beach, anything outdoors and anything that takes me out of the everyday.",Christa B. Allen
"Usually, I take a hike for a while after submitting a column to Townhall. Too much of my insensitivity can cause emotional problems among proggies, and I am, after all, a compassionate man.",Neal Boortz
"I was a typical American boy. I did a lot of outdoor activities, played a lot outside with my friends, loved to go the beach, liked to hike, boating and fishing, and I flew a lot of model airplanes as well.",Alan G. Poindexter
"What I love about L.A. is that people say they're going for a hike, which just means a walk. It's a stroll, but if you walk in L.A., it's a hike.",Lucy Punch
"Anyone can see how if a feared tax hike doesn't happen, that's a positive factor. But even if tax hikes happen as feared, vast history tells me it doesn't have to have the big bad impact folks fear. And fear of a false factor is always bullish.",Kenneth Fisher
